EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
73,ACA27HBAA5CX,ACA27HBAA5C4,SDCL0603Q2N7BT02B02,SUNLORD,"电感,Inductor,2.7 nH,±0.1 nH,DCR=0.25 ohm,450 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q2N7BT02B02,SUNLORD",5,"L4230,L4415,L4420,L4241,C4212",Inductor
74,ACA33HBAA5CX,ACA33HBAA5C4,SDCL0603Q3N3BT02B02,SUNLORD,"电感,Inductor,3.3 nH,±0.1 nH,DCR=0.32 ohm,400 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N3BT02B02,SUNLORD",4,"L4251,L4421,L4618 ,L4443",Inductor
75,ACA36HBAA6CX,ACA36HBAA6C4,SDCL0603Q3N6BT02B02,SUNLORD,"电感,Inductor,3.6 nH,±0.1 nH,DCR=0.34 ohm,350 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q3N6BT02B02,SUNLORD",4,"L4249,L4259,C4342,R4207",Inductor
76,ACA43HHA01CX,ACA43HHA01C1,LQP03TN4N3H02D,MURATA ,"电感,Inductor,4.3 nH,±3 %,DCR=0.4 ohm,350 mA,0201,Film,N/A,LQP03TN4N3H02D,MURATA ",3,"C4345,R4406,L4313",Inductor
76A,#ACA43HHA04CX,ACA43HHA04C2,LQP03TG4N3H02D,MURATA ,"电感,Inductor,4.3 nH,±3 %,DCR=0.58 ohm,300 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG4N3H02D,MURATA",3,"C4345,R4406,L4313",Inductor
77,ACA51HHA03CX,ACA51HHA03C2,LQP03TG5N1H02D,MURATA,"电感,Inductor,5.1 nH,±3 %,DCR=0.72 ohm,250 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG5N1H02D,MURATA",2,"L4231,L4419",Inductor
78,ACA56HHA02CX,ACA56HHA02C1,LQP03TG5N6H02D,MURATA,"电感,Inductor,5.6 nH,±3 %,DCR=0.88 ohm,250 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG5N6H02D,MURATA",4,"L4261,L4442,C4609,L4610",Inductor
79,ACA62HBAA1CX,ACA62HBAA1C4,SDCL0603Q6N2BT02B02,SUNLORD,"电感,Inductor,6.2 nH,±0.1 nH,DCR=0.5 ohm,200 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q6N2BT02B02,SUNLORD",1,L4205,Inductor
80,ACA68HHA06CX,ACA68HHA06C1,LQP03TG6N8H02D,MURATA,"电感,Inductor,6.8 nH,±3 %,DCR=1.15 ohm,200 mA,0201,Film,N/A,LQP03TG6N8H02D,MURATA",1,L4215,Inductor
81,ACA82HHA04CX,ACA82HHA04C1,LQP03TG8N2H02D,MURATA,"电感,Inductor,8.2 nH,±3 %,DCR=1.4 ohm,200 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG8N2H02D,MURATA",4,"L1401,L1402,L1403,L1404",Inductor
